 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
0,407135.0,1,1,482,579,482,482,482.0,0.0,579,579,579.0,0.0,2606.0151974013156,4.912375489917655,407135.0,0.0,407135.0,407135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,2.4561877449588274,2.4561877449588274,482,579,530.5,68.58935777509511,4704.5,0,0,0,0,0,0,0,0,1.0,530.5,482.0,579.0,20,0,0,0,0,0,0,1,482,1,579,0,0,1,20,0,0,0,0,0,0,0,0,BENIGN
80,831627.0,4,3,198,1598,60,46,49.5,7.0,1500,46,532.6666666666666,837.7406122024486,2159.6220394965267,8.41723512053212,138604.5,211675.27839570685,414178.0,810.0,829151.0,276383.6666666667,236845.33951575516,416664.0,2929.0,417449.0,208724.5,292824.9389046295,415783.0,1666.0,0,0,0,0,80,60,4.809848640304068,3.607386480228051,46,1500,256.57142857142856,548.3255897557148,300660.9523809524,0,1,0,0,4,0,0,0,0.75,256.57142857142856,49.5,532.6666666666666,80,0,0,0,0,0,0,4,198,3,1598,0,0,4,20,0,0,0,0,0,0,0,0,DDoS
0,50648218116.0,5,5,2750,4380,596,528,550.0,27.7758888246623,982,662,876.0,130.64264234927276,0.14077494263806017,0.00019744031225534388,5627579790.666667,16866342826.390682,50604487423.0,447141.0,50646044598.0,12661511149.5,25295649436.741665,50604981560.0,5618652.0,50619178712.0,12654794678.0,25300160339.443768,50605035122.0,2620659.0,0,0,0,0,100,100,9.872015612767194e-05,9.872015612767194e-05,528,982,713.0,193.51887648380855,37449.555555555555,0,0,0,0,0,0,0,0,1.0,713.0,550.0,876.0,100,0,0,0,0,0,0,5,2750,5,4380,0,0,5,20,0,0,0,0,0,0,0,0,BENIGN
80,9685245.0,11,11,570,2765,60,46,51.81818181818182,4.854239009735343,1440,46,251.36363636363637,432.86262779946077,344.3382175314782,2.271496487464024,461202.14285714284,1213693.4812450912,5214263.0,5.0,9685245.0,968524.5,1652462.9221432037,5214263.0,98867.0,9183625.0,918362.5,1708945.2572429483,5311043.0,5.0,0,0,0,0,220,220,1.135748243732012,1.135748243732012,46,1440,151.5909090909091,315.6955524206539,99663.68181818182,0,1,0,0,11,0,0,0,1.0,151.5909090909091,51.81818181818182,251.36363636363637,220,0,0,0,0,0,0,11,570,11,2765,0,0,11,20,0,0,0,0,0,0,0,0,DDoS
80,39161192.0,12,11,622,2224,60,46,51.833333333333336,4.628632889335945,1440,46,202.1818181818182,420.9906930519529,72.67398806265464,0.5873161368380382,1780054.1818181819,6236936.888443502,29179216.0,16.0,39161192.0,3560108.3636363638,8646068.465264594,29179216.0,98491.0,38617141.0,3861714.1,9086763.4724333,29280151.0,16.0,0,0,0,0,240,220,0.3064258105241938,0.28089032631384436,46,1440,123.73913043478261,294.0546049153741,86468.11067193677,0,1,0,0,12,0,0,0,0.9166666666666666,123.73913043478261,51.833333333333336,202.1818181818182,240,0,0,0,0,0,0,12,622,11,2224,0,0,12,20,0,0,0,0,0,0,0,0,DDoS
0,14750820.0,3,3,2479,1673,961,662,826.3333333333334,151.69157304653854,596,528,557.6666666666666,34.81857741685225,281.4758772541814,0.4067570480551755,2950164.0,5910122.773407799,13517830.0,3635.0,14343221.0,7171610.5,9560815.53716065,13932128.0,411093.0,14336522.0,7168261.0,9555879.224721188,13925288.0,411234.0,0,0,0,0,60,60,0.20337852402758774,0.20337852402758774,528,961,692.0,177.04123813394438,31343.6,0,0,0,0,0,0,0,0,1.0,692.0,826.3333333333334,557.6666666666666,60,0,0,0,0,0,0,3,2479,3,1673,0,0,3,20,0,0,0,0,0,0,0,0,BENIGN
80,17371861.0,7,7,366,2070,60,46,52.285714285714285,4.0708019567928595,1440,46,295.7142857142857,521.5444098334978,140.2267724718597,0.8059009912175845,1336297.0,3775159.8103317427,13629945.0,18.0,17371861.0,2895310.1666666665,5373599.1116007315,13634766.0,100316.0,14493659.0,2415609.8333333335,5495917.766566287,13632033.0,18.0,0,0,0,0,140,140,0.40295049560879226,0.40295049560879226,46,1440,174.0,376.1701742562799,141504.0,0,1,0,0,7,0,0,0,1.0,174.0,52.285714285714285,295.7142857142857,140,0,0,0,0,0,0,7,366,7,2070,0,0,7,20,0,0,0,0,0,0,0,0,DDoS
0,2812115610386.0,6,0,4591,0,1460,46,765.1666666666666,658.7085597338679,0,0,0.0,0.0,0.0016325786831252727,2.1336249398282806e-06,562423122077.2,1257616330031.726,2812115604929.0,4.0,2812115610386.0,562423122077.2,1257616330031.726,2812115604929.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,120,0,2.1336249398282806e-06,0.0,46,1460,765.1666666666666,658.7085597338679,433896.9666666667,0,0,0,0,0,0,0,0,0.0,765.1666666666666,765.1666666666666,0.0,120,0,0,0,0,0,0,6,4591,0,0,0,0,6,20,0,0,0,0,0,0,0,0,BENIGN
0,2812115604989.0,2,0,2200,0,1460,740,1100.0,509.11688245431424,0,0,0.0,0.0,0.0007823291461051456,7.112083146410414e-07,2812115604989.0,0.0,2812115604989.0,2812115604989.0,2812115604989.0,2812115604989.0,0.0,2812115604989.0,2812115604989.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,7.112083146410414e-07,0.0,740,1460,1100.0,509.11688245431424,259200.0,0,0,0,0,0,0,0,0,0.0,1100.0,1100.0,0.0,40,0,0,0,0,0,0,2,2200,0,0,0,0,2,20,0,0,0,0,0,0,0,0,BENIGN
80,37720804.0,9,19,444,16852,52,46,49.333333333333336,3.1622776601683795,1460,46,886.9473684210526,645.6573285922744,458.5268118765834,0.7422959489213885,1397066.8148148148,4811494.378718465,22132244.0,4.0,15588560.0,1948570.0,4430098.089809944,12804254.0,1259.0,37343431.0,2074635.0555555555,5826698.918861928,22135702.0,4.0,0,0,0,0,180,380,0.23859512643901773,0.5037008224823707,46,1460,617.7142857142857,660.7671107153976,436613.1746031745,0,1,0,0,19,0,0,0,2.111111111111111,617.7142857142857,49.333333333333336,886.9473684210526,180,0,0,0,0,0,0,9,444,19,16852,0,0,9,20,0,0,0,0,0,0,0,0,DDoS
